date,unemployment,cpi,ppi,country
2000-01-31,4.0,169.3,128.3,US
2000-02-29,4.1,170.0,129.8,US
2000-03-31,4.0,171.0,130.8,US
2000-04-30,3.8,170.9,130.7,US
2000-05-31,4.0,171.2,131.6,US
2000-06-30,4.0,172.2,133.8,US
2000-07-31,4.0,172.7,133.7,US
2000-08-31,4.1,172.7,132.9,US
2000-09-30,3.9,173.6,134.7,US
2000-10-31,3.9,173.9,135.4,US
2000-11-30,3.9,174.2,135.0,US
2000-12-31,3.9,174.6,136.2,US
2001-01-31,4.2,175.6,140.0,US
2001-02-28,4.2,176.0,137.4,US
2001-03-31,4.3,176.1,135.9,US
2001-04-30,4.4,176.4,136.4,US
2001-05-31,4.3,177.3,136.8,US
2001-06-30,4.5,177.7,135.5,US
2001-07-31,4.6,177.4,133.4,US
2001-08-31,4.9,177.4,133.4,US
2001-09-30,5.0,178.1,133.3,US
2001-10-31,5.3,177.6,130.3,US
2001-11-30,5.5,177.5,129.8,US
2001-12-31,5.7,177.4,128.1,US
2002-01-31,5.7,177.7,128.5,US
2002-02-28,5.7,178.0,128.4,US
2002-03-31,5.7,178.5,129.8,US
2002-04-30,5.9,179.3,130.8,US
2002-05-31,5.8,179.5,130.8,US
2002-06-30,5.8,179.6,130.9,US
2002-07-31,5.8,180.0,131.2,US
2002-08-31,5.7,180.5,131.5,US
2002-09-30,5.7,180.8,132.3,US
2002-10-31,5.7,181.2,133.2,US
2002-11-30,5.9,181.5,133.1,US
2002-12-31,6.0,181.8,132.9,US
2003-01-31,5.8,182.6,135.3,US
2003-02-28,5.9,183.6,137.6,US
2003-03-31,5.9,183.9,141.2,US
2003-04-30,6.0,183.2,136.8,US
2003-05-31,6.1,182.9,136.7,US
2003-06-30,6.3,183.1,138.0,US
2003-07-31,6.2,183.7,137.7,US
2003-08-31,6.1,184.5,138.0,US
2003-09-30,6.1,185.1,138.5,US
2003-10-31,6.0,184.9,139.3,US
2003-11-30,5.8,185.0,138.9,US
2003-12-31,5.7,185.5,139.5,US
2004-01-31,5.7,186.3,141.4,US
2004-02-29,5.6,186.7,142.1,US
2004-03-31,5.8,187.1,143.1,US
2004-04-30,5.6,187.4,144.8,US
2004-05-31,5.6,188.2,146.8,US
2004-06-30,5.6,188.9,147.2,US
2004-07-31,5.5,189.1,147.4,US
2004-08-31,5.4,189.2,148.0,US
2004-09-30,5.4,189.8,147.7,US
2004-10-31,5.5,190.8,150.0,US
2004-11-30,5.4,191.7,151.4,US
2004-12-31,5.4,191.7,150.2,US
2005-01-31,5.3,191.6,150.9,US
2005-02-28,5.4,192.4,151.6,US
2005-03-31,5.2,193.1,153.7,US
2005-04-30,5.2,193.7,155.0,US
2005-05-31,5.1,193.6,154.3,US
2005-06-30,5.0,193.7,154.3,US
2005-07-31,5.0,194.9,156.3,US
2005-08-31,4.9,196.1,157.6,US
2005-09-30,5.0,198.8,162.2,US
2005-10-31,5.0,199.1,166.2,US
2005-11-30,5.0,198.1,163.7,US
2005-12-31,4.9,198.1,163.0,US
2006-01-31,4.7,199.3,164.3,US
2006-02-28,4.8,199.4,161.8,US
2006-03-31,4.7,199.7,162.2,US
2006-04-30,4.7,200.7,164.3,US
2006-05-31,4.6,201.3,165.8,US
2006-06-30,4.6,201.8,166.1,US
2006-07-31,4.7,202.9,166.8,US
2006-08-31,4.7,203.8,167.9,US
2006-09-30,4.5,202.8,165.4,US
2006-10-31,4.4,201.9,162.2,US
2006-11-30,4.5,202.0,164.6,US
2006-12-31,4.4,203.1,165.6,US
2007-01-31,4.6,203.437,164.0,US
2007-02-28,4.5,204.226,166.8,US
2007-03-31,4.4,205.288,169.3,US
2007-04-30,4.5,205.904,171.4,US
2007-05-31,4.4,206.755,173.3,US
2007-06-30,4.6,207.234,173.8,US
2007-07-31,4.7,207.603,175.1,US
2007-08-31,4.6,207.667,172.4,US
2007-09-30,4.7,208.547,173.5,US
2007-10-31,4.7,209.19,174.7,US
2007-11-30,4.7,210.834,179.0,US
2007-12-31,5.0,211.445,178.6,US
2008-01-31,5.0,212.174,181.0,US
2008-02-29,4.9,212.687,182.7,US
2008-03-31,5.1,213.448,187.9,US
2008-04-30,5.0,213.942,190.9,US
2008-05-31,5.4,215.208,196.6,US
2008-06-30,5.6,217.463,200.5,US
2008-07-31,5.8,219.016,205.5,US
2008-08-31,6.1,218.69,199.0,US
2008-09-30,6.1,218.877,196.9,US
2008-10-31,6.5,216.995,186.4,US
2008-11-30,6.8,213.153,176.8,US
2008-12-31,7.3,211.398,170.9,US
2009-01-31,7.8,211.933,171.2,US
2009-02-28,8.3,212.705,169.3,US
2009-03-31,8.7,212.495,168.1,US
2009-04-30,9.0,212.709,169.1,US
2009-05-31,9.4,213.022,170.8,US
2009-06-30,9.5,214.79,174.1,US
2009-07-31,9.5,214.726,172.5,US
2009-08-31,9.6,215.445,175.0,US
2009-09-30,9.8,215.861,174.1,US
2009-10-31,10.0,216.509,175.2,US
2009-11-30,9.9,217.234,177.4,US
2009-12-31,9.9,217.347,178.1,US
2010-01-31,9.8,217.488,181.9,US
2010-02-28,9.8,217.281,181.0,US
2010-03-31,9.9,217.353,183.3,US
2010-04-30,9.9,217.403,184.4,US
2010-05-31,9.6,217.29,184.8,US
2010-06-30,9.4,217.199,183.5,US
2010-07-31,9.4,217.605,184.1,US
2010-08-31,9.5,217.923,184.9,US
2010-09-30,9.5,218.275,184.9,US
2010-10-31,9.4,219.035,186.6,US
2010-11-30,9.8,219.59,187.7,US
2010-12-31,9.3,220.472,189.7,US
2011-01-31,9.1,221.187,192.7,US
2011-02-28,9.0,221.898,195.8,US
2011-03-31,9.0,223.046,199.2,US
2011-04-30,9.1,224.093,203.1,US
2011-05-31,9.0,224.806,204.1,US
2011-06-30,9.1,224.806,203.9,US
2011-07-31,9.0,225.395,204.6,US
2011-08-31,9.0,226.106,203.2,US
2011-09-30,9.0,226.597,203.7,US
2011-10-31,8.8,226.75,201.1,US
2011-11-30,8.6,227.169,201.4,US
2011-12-31,8.5,227.223,199.8,US
2012-01-31,8.3,227.842,200.7,US
2012-02-29,8.3,228.329,201.6,US
2012-03-31,8.2,228.807,204.2,US
2012-04-30,8.2,229.187,203.7,US
2012-05-31,8.2,228.713,201.9,US
2012-06-30,8.2,228.524,199.8,US
2012-07-31,8.2,228.59,200.1,US
2012-08-31,8.1,229.918,202.7,US
2012-09-30,7.8,231.015,204.4,US
2012-10-31,7.8,231.638,203.5,US
2012-11-30,7.7,231.249,201.8,US
2012-12-31,7.9,231.221,201.5,US
2013-01-31,8.0,231.679,202.5,US
2013-02-28,7.7,232.937,204.3,US
2013-03-31,7.5,232.282,204.0,US
2013-04-30,7.6,231.797,203.5,US
2013-05-31,7.5,231.893,204.1,US
2013-06-30,7.5,232.445,204.3,US
2013-07-31,7.3,232.9,204.4,US
2013-08-31,7.2,233.456,204.2,US
2013-09-30,7.2,233.544,203.9,US
2013-10-31,7.2,233.669,202.5,US
2013-11-30,6.9,234.1,201.2,US
2013-12-31,6.7,234.719,202.0,US
2014-01-31,6.6,235.288,203.8,US
2014-02-28,6.7,235.547,205.7,US
2014-03-31,6.7,236.028,207.0,US
2014-04-30,6.2,236.468,208.3,US
2014-05-31,6.3,236.918,208.0,US
2014-06-30,6.1,237.231,208.3,US
2014-07-31,6.2,237.498,208.0,US
2014-08-31,6.1,237.46,207.0,US
2014-09-30,5.9,237.477,206.4,US
2014-10-31,5.7,237.43,203.4,US
2014-11-30,5.8,236.983,200.9,US
2014-12-31,5.6,236.252,197.0,US
2015-01-31,5.7,234.747,192.0,US
2015-02-28,5.5,235.342,191.1,US
2015-03-31,5.4,235.976,191.5,US
2015-04-30,5.4,236.222,190.9,US
2015-05-31,5.6,237.001,193.4,US
2015-06-30,5.3,237.657,194.8,US
2015-07-31,5.2,238.034,193.9,US
2015-08-31,5.1,238.033,191.9,US
2015-09-30,5.0,237.498,189.1,US
2015-10-31,5.0,237.733,187.5,US
2015-11-30,5.1,238.017,185.7,US
2015-12-31,5.0,237.761,183.5,US
2016-01-31,4.8,237.652,182.6,US
2016-02-29,4.9,237.336,181.3,US
2016-03-31,5.0,238.08,182.1,US
2016-04-30,5.1,238.992,183.2,US
2016-05-31,4.8,239.557,185.3,US
2016-06-30,4.9,240.222,187.6,US
2016-07-31,4.8,240.101,187.7,US
2016-08-31,4.9,240.545,186.6,US
2016-09-30,5.0,241.176,186.9,US
2016-10-31,4.9,241.741,186.7,US
2016-11-30,4.7,242.026,186.3,US
2016-12-31,4.7,242.637,188.2,US
2017-01-31,4.7,243.618,190.7,US
2017-02-28,4.6,244.006,191.6,US
2017-03-31,4.4,243.892,191.5,US
2017-04-30,4.4,244.193,193.0,US
2017-05-31,4.4,244.004,192.8,US
2017-06-30,4.3,244.163,193.6,US
2017-07-31,4.3,244.243,193.5,US
2017-08-31,4.4,245.183,193.8,US
2017-09-30,4.3,246.435,194.8,US
2017-10-31,4.2,246.626,194.9,US
2017-11-30,4.2,247.284,195.9,US
2017-12-31,4.1,247.805,196.3,US
2018-01-31,4.0,248.859,197.9,US
2018-02-28,4.1,249.529,199.3,US
2018-03-31,4.0,249.577,199.3,US
2018-04-30,4.0,250.227,200.3,US
2018-05-31,3.8,250.792,203.2,US
2018-06-30,4.0,251.018,204.2,US
2018-07-31,3.8,251.214,204.3,US
2018-08-31,3.8,251.663,203.4,US
2018-09-30,3.7,252.182,203.6,US
2018-10-31,3.8,252.772,204.6,US
2018-11-30,3.8,252.594,202.3,US
2018-12-31,3.9,252.767,201.0,US
2019-01-31,4.0,252.561,199.1,US
2019-02-28,3.8,253.319,199.2,US
2019-03-31,3.8,254.277,200.8,US
2019-04-30,3.7,255.233,202.1,US
2019-05-31,3.6,255.296,201.7,US
2019-06-30,3.6,255.213,200.3,US
2019-07-31,3.7,255.802,200.7,US
